Name,Tag,Reef,Trip,Depth,Latitude,Longitude,Death,Death_date_left,Death_date_right,Residents,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Fish deaths count,Death in Rank 1 or 2,Recruitment,Area_1,Area_2,Area_3,Bleaching,Expansion score,Number of clutches laid per month,Notes
RB270_Trip0,RB270,First Reef North,0,3.3,-5.43033333,150.0921833,No,,,3,RB270_A,RB270_B,RB270_C,,,0,No,3,1020.39,1368.32,,Yes,1,,
RB271_Trip0,RB271,First Reef North,0,11.7,-5.43028333,150.09205,No,,,3,RB271_A,RB271_B,RB271_C,,,0,No,3,973.055,754.658,,No,1,,
RB272_Trip0,RB272,First Reef North,0,4.5,-5.43041667,150.09195,No,,,2,RB272_A,RB272_B,,,,0,No,2,539.663,454.616,,No,1,,
RB273_Trip0,RB273,First Reef North,0,5.5,-5.43051667,150.09185,No,,,2,RB273_A,RB273_B,,,,0,No,2,1319.69,685.522,,No,1,,
RB274_Trip0,RB274,First Reef North,0,12.8,-5.4307333,150.0915833,No,,,3,RB274_A,RB274_B,RB274_C,,,0,No,3,1295.06,867.787,,No,0.75,,
RB275_Trip0,RB275,First Reef North,0,11.5,-5.4308333,150.0915833,No,,,3,RB275_A,RB275_B,RB275_C,,,0,No,3,1356.85,1292.29,,No,1,,
RB276_Trip0,RB276,First Reef North,0,8.4,-5.4309667,150.0915667,No,,,3,RB276_A,RB276_B,RB276_C,,,0,No,3,630.926,616.459,,No,0.667,,
RB277_Trip0,RB277,First Reef North,0,4.8,-5.4309667,150.0916167,No,,,4,RB277_A,RB277_B,RB277_C,RB277_D,,0,No,4,1283.44,982.501,,No,1,,
RB278_Trip0,RB278,First Reef North,0,3.8,-5.431,150.0915833,No,,,5,RB278_A,RB278_B,RB278_C,RB278_D,RB278_E,1,No,5,1154.82,929.542,,Yes,1,,
RB279_Trip0,RB279,First Reef North,0,6.4,-5.4310333,150.09155,No,,,3,RB279_A,RB279_B,RB279_C,,,0,No,3,534.385,929.542,,No,1,,
RB280_Trip0,RB280,First Reef North,0,9.9,-5.4312667,150.0914,No,,,3,RB280_A,RB280_B,RB280_C,,,0,No,3,1065.58,611.352,,No,1,,
RB303_Trip0,RB303,First Reef North,0,4.2,-5.4302,150.09235,No,,,4,RB303_A,RB303_B,RB303_C,RB303_D,,1,No,4,1097.39,1119.74,,Yes,1,,
RB304_Trip0,RB304,First Reef North,0,12,-5.4308,150.0915333,No,,,3,RB304_A,RB304_B,RB304_C,,,0,No,3,1822.43,2371.84,,No,1,,
RB305_Trip0,RB305,First Reef North,0,9.7,-5.4312667,150.0914167,No,,,1,RB305_A,,,,,0,No,1,308.725,280.257,,No,1,,
RB161_Trip0,RB161,First Reef South,0,7.2,-5.43416667,150.0919833,No,,,2,RB161_A,RB161_B,,,,0,No,2,329.303,410.03,,No,1,,
RB162_Trip0,RB162,First Reef South,0,8.8,-5.434,150.0918333,No,,,3,RB162_A,RB162_B,RB162_C,,,0,No,3,75.419,1510.77,,No,1,,
RB163_Trip0,RB163,First Reef South,0,8.4,-5.43373333,150.0915,No,,,2,RB163_A,RB163_B,,,,0,No,2,540.623,488.556,,No,1,,
RB164_Trip0,RB164,First Reef South,0,8.6,-5.43351667,150.0910333,No,,,2,RB164_A,RB164_B,,,,0,No,2,,239.371,,No,1,,
RB165_Trip0,RB165,First Reef South,0,9.3,-5.4332833,150.0910833,No,,,3,RB165_A,RB165_B,RB165_C,,,0,No,3,,980.557,,No,1,,
RB166_Trip0,RB166,First Reef South,0,5.7,-5.4333167,150.0911667,No,,,3,RB166_A,RB166_B,RB166_C,,,0,No,3,,1252.87,,No,1,,
RB167_Trip0,RB167,First Reef South,0,7.4,-5.4333167,150.09135,No,,,2,RB167_A,RB167_B,,,,0,No,2,,1520.74,,No,0,,
RB281_Trip0,RB281,First Reef South,0,7,-5.43118333,150.0925333,No,,,3,RB281_A,RB281_B,RB281_C,,,0,No,3,478.878,679.028,,No,0.75,,
RB282_Trip0,RB282,First Reef South,0,11.6,-5.43123333,150.0926167,No,,,3,RB282_A,RB282_B,RB282_C,,,0,No,3,1483.91,1649.12,,No,0.75,,
RB283_Trip0,RB283,First Reef South,0,7.9,-5.43131667,150.0926167,No,,,3,RB283_A,RB283_B,RB283_C,,,0,No,3,732.731,694.152,,No,1,,
RB284_Trip0,RB284,First Reef South,0,9.1,-5.43135,150.0926333,No,,,2,RB284_A,RB284_B,,,,0,No,2,610.627,389.629,,No,0.75,,
RB285_Trip0,RB285,First Reef South,0,9.1,-5.4314,150.0926333,No,,,3,RB285_A,RB285_B,RB285_C,,,0,No,3,1460.55,940.117,,No,0.75,,
RB286_Trip0,RB286,First Reef South,0,6.9,-5.43151667,150.0926,No,,,2,RB286_A,RB286_B,,,,0,No,2,959.84,136.57,,No,0.75,,
RB287_Trip0,RB287,First Reef South,0,8.4,-5.43186667,150.0926,No,,,2,RB287_A,RB287_B,,,,0,No,2,479.921,470.931,,No,1,,
RB288_Trip0,RB288,First Reef South,0,12.4,-5.43211667,150.0927833,No,,,3,RB288_A,RB288_B,RB288_C,,,0,No,3,984.319,173.149,,No,1,,
RB289_Trip0,RB289,First Reef South,0,5.5,-5.43231667,150.0928333,No,,,3,RB289_A,RB289_B,RB289_C,,,0,No,3,944.605,827.927,,No,1,,
RB290_Trip0,RB290,First Reef South,0,8.2,-5.4323,150.09285,No,,,3,RB290_A,RB290_B,RB290_C,,,0,No,3,1103.05,414.024,,No,1,,
RB291_Trip0,RB291,First Reef South,0,4.7,-5.43251667,150.0928333,No,,,2,RB291_A,RB291_B,,,,0,No,2,1053.99,776.193,,No,1,,
RB292_Trip0,RB292,First Reef South,0,7.8,-5.43255,150.0929667,No,,,3,RB292_A,RB292_B,RB292_C,,,0,No,3,1500.36,671.587,,No,1,,
RB293_Trip0,RB293,First Reef South,0,5.1,-5.43266667,150.0929,No,,,2,RB293_A,RB293_B,,,,0,No,2,828.707,529.283,,No,1,,
RB294_Trip0,RB294,First Reef South,0,5.1,-5.43275,150.0929,No,,,3,RB294_A,RB294_B,RB294_C,,,0,No,3,903.666,1023.97,,No,1,,
RB295_Trip0,RB295,First Reef South,0,3,-5.43326667,150.0924167,No,,,3,RB295_A,RB295_B,RB295_C,,,0,No,3,488.944,500.579,,Yes,0.75,,
RB296_Trip0,RB296,First Reef South,0,6,-5.4334,150.09225,No,,,4,RB296_A,RB296_B,RB296_C,RB296_D,,0,No,4,2368.46,2157.65,,No,0.75,,
RB297_Trip0,RB297,First Reef South,0,3.1,-5.43351667,150.0921833,No,,,3,RB297_A,RB297_B,RB297_C,,,0,No,3,1917.95,1689.68,,No,1,,
RB298_Trip0,RB298,First Reef South,0,4.2,-5.43358333,150.0921167,No,,,3,RB298_A,RB298_B,RB298_C,,,0,No,3,1580.6,1567.14,,Yes,0.75,,
