hab_id,basemap_id,qmap_id,popmap_id,npatch,q_autocorr_scale
1,4,13,6,256,
2,1,1,2,20000,63.3916922653916
3,1,2,2,20000,138.576790355975
4,1,3,2,20000,409.892017586712
5,1,4,2,20000,528.671265274237
6,1,5,2,20000,1081.03974891912
7,1,6,2,20000,2342.03251316855
8,1,7,2,20000,3047.28417225722
9,1,1,1,200,63.3916922653916
10,1,2,1,200,138.576790355975
11,1,3,1,200,409.892017586712
12,1,4,1,200,528.671265274237
13,1,5,1,200,1081.03974891912
14,1,6,1,200,2342.03251316855
15,1,7,1,200,3047.28417225722
16,1,14,2,20000,
17,1,14,1,200,
18,1,219,2,20000,989.370247371698
19,1,221,2,20000,2040.87642025976
20,1,223,2,20000,1975.70162000982
21,1,225,2,20000,2068.54522018042
22,1,227,2,20000,1405.91239235663
23,1,229,2,20000,14.9739230561787
24,1,231,2,20000,1088.67020623715
25,1,233,2,20000,15.423038594191
26,1,235,2,20000,1462.27553065958
27,1,237,2,20000,1743.76007067125
28,1,239,2,20000,2860.16229692603
29,1,241,2,20000,1992.10608873458
30,1,243,2,20000,1512.65862780803
31,1,245,2,20000,1482.72976514484
32,1,247,2,20000,1064.41620299084
33,1,249,2,20000,895.666479211213
34,1,251,2,20000,2354.09468048382
35,1,253,2,20000,966.142650706626
36,1,255,2,20000,1348.45815982213
37,1,257,2,20000,854.956070927776
38,1,259,2,20000,760.415213867477
39,1,261,2,20000,788.847660211343
40,1,263,2,20000,2354.90547702861
41,1,265,2,20000,3285.6501400137
42,1,267,2,20000,14.8951873009222
43,1,269,2,20000,1288.94713367896
44,1,271,2,20000,3101.53415000135
45,1,273,2,20000,1108.5204837492
46,1,275,2,20000,1737.05134942494
47,1,277,2,20000,2587.66701005728
48,1,279,2,20000,2361.03050749552
49,1,281,2,20000,2818.50099909916
50,1,283,2,20000,953.072690831937
51,1,285,2,20000,14.7339675330832
52,1,287,2,20000,2113.50059557868
53,1,289,2,20000,2662.07889589694
54,1,291,2,20000,3013.22019097841
55,1,293,2,20000,15.9661291621639
56,1,295,2,20000,2187.04488736504
57,1,297,2,20000,14.5535716001118
58,1,299,2,20000,1053.51677407167
59,1,301,2,20000,2167.86536095686
60,1,303,2,20000,14.4715818079739
61,1,305,2,20000,14.47456787638
62,1,307,2,20000,1946.50704820748
63,1,309,2,20000,1378.05320800907
64,1,311,2,20000,2723.48430455325
65,1,313,2,20000,2427.2997487573
66,1,315,2,20000,928.031403881146
67,1,317,2,20000,1785.51345896885
68,1,319,2,20000,14.583629646427
69,1,321,2,20000,1150.41460926698
70,1,323,2,20000,1375.69893375713
71,1,325,2,20000,2649.90910431587
72,1,327,2,20000,14.8966338695355
73,1,329,2,20000,2066.89530504284
74,1,331,2,20000,16.276738582679
75,1,333,2,20000,14.8609912017103
76,1,335,2,20000,1725.55561754008
77,1,337,2,20000,2375.37591174792
78,1,339,2,20000,14.6890577881868
79,1,341,2,20000,2587.56393979408
80,1,343,2,20000,14.9183643511873
81,1,345,2,20000,1260.64243121824
82,1,347,2,20000,14.8873728104569
83,1,349,2,20000,2854.29888941966
84,1,351,2,20000,2033.78394362798
85,1,353,2,20000,2776.01808143847
86,1,355,2,20000,14.9918495454571
87,1,357,2,20000,14.6476458058007
88,1,359,2,20000,14.8311357768182
89,1,361,2,20000,732.621622943574
90,1,363,2,20000,2388.83146931255
91,1,365,2,20000,15.5011546902045
92,1,367,2,20000,2182.85975054977
93,1,369,2,20000,1266.70917312372
94,1,371,2,20000,2294.46581829664
95,1,373,2,20000,2604.95726509002
96,1,375,2,20000,14.7329802949794
97,1,377,2,20000,1796.46487976205
98,1,379,2,20000,3121.51439344387
99,1,381,2,20000,1879.67437869816
100,1,383,2,20000,1073.33983244526
101,1,385,2,20000,14.7267497762107
102,1,387,2,20000,2510.66056126296
103,1,389,2,20000,14.7332078882533
104,1,391,2,20000,3129.69733828298
105,1,393,2,20000,1094.94483397396
106,1,395,2,20000,2676.26153751617
107,1,397,2,20000,1815.12848889598
108,1,399,2,20000,979.701436530544
109,1,401,2,20000,2214.41126133434
110,1,403,2,20000,14.8381932788461
111,1,405,2,20000,987.859062425916
112,1,407,2,20000,757.718655414366
113,1,409,2,20000,1465.74148443907
114,1,411,2,20000,14.566098673372
115,1,413,2,20000,878.248865366414
116,1,415,2,20000,792.537994360818
117,1,417,2,20000,14.6637978395499
