"qmap_id","basemap_id","description","h","target_dist","range","sill","SSErr","model","original_range"
44,6,"autocorr=3078, 1x25km patchy",1.05,"uniform",3077.65890469297,0.0866290775784675,0.000241406115978999,"Gau",4296.44273390521
45,2,"autocorr=4965, 1x25km full",0.45,"uniform",4965.33115851042,0.133445304976471,0.00498692526882828,"Exp",1450.7595551378
46,6,"autocorr=2429, 1x25km patchy",0.45,"uniform",2428.94458008185,0.101789417200904,0.000243817833462933,"Exp",1450.7595551378
47,2,"autocorr=16, 1x25km full",-0.95,"uniform",16.4444711494937,0.0762514438718686,0.010257109039003,"Gau",14.3360092832121
48,6,"autocorr=13, 1x25km patchy",-0.95,"uniform",12.5417829815253,0.0665604768583187,0.000266502969089665,"Exp",14.3360092832121
49,2,"autocorr=2296, 1x25km full",0.45,"uniform",2296.38041760929,0.110792685579609,0.0018460085840597,"Exp",1779.39479858756
50,6,"autocorr=1549, 1x25km patchy",0.45,"uniform",1548.97184643082,0.0883134183473646,0.000436718293347895,"Exp",1779.39479858756
51,2,"autocorr=10240, 1x25km full",1.05,"uniform",10240.4745937628,0.158864396002385,0.00824191898147476,"Sph",5855.08364692093
52,6,"autocorr=1411, 1x25km patchy",1.05,"uniform",1410.99567930184,0.0894339685207372,0.000403288667654267,"Gau",5855.08364692093
53,2,"autocorr=4865, 1x25km full",1.05,"uniform",4864.94130818241,0.20959623363347,0.00807316381419866,"Gau",6206.44577096997
54,6,"autocorr=2854, 1x25km patchy",1.05,"uniform",2853.99773891419,0.105612825646129,0.000353789112354344,"Gau",6206.44577096997
55,2,"autocorr=15, 1x25km full",-0.95,"uniform",15.0944379546194,0.0856424274732968,0.00607062275386509,"Gau",14.313081794832
56,6,"autocorr=11, 1x25km patchy",-0.95,"uniform",11.3274265491961,0.0720041282255261,0.000252583369847825,"Exp",14.313081794832
57,2,"autocorr=1889, 1x25km full",0.45,"uniform",1888.74543662452,0.111907734037616,0.00427070934678895,"Exp",1821.57395517223
58,6,"autocorr=1028, 1x25km patchy",0.45,"uniform",1028.26108331172,0.0688685522541965,0.000672938425000573,"Exp",1821.57395517223
59,2,"autocorr=22840, 1x25km full",1.85,"uniform",22840.4203334254,1.03235621249699,0.000968256599048424,"Gau",9541.56017947219
